КИЕВ;КИЇВ;4,8;1;1;1;244
БОРИСПОЛЬ;БОРИСПІЛЬ;3,5;2;2;1;87
БОЯРКА;БОЯРКА;3,5;2;2;1;3348
БРОВАРЫ;БРОВАРИ;3,5;2;2;1;88
БУЧА;БУЧА;3,5;2;1;1;3568
ВАСИЛЬКОВ;ВАСИЛЬКІВ;3,5;2;2;1;89
ВЫШГОРОД;ВИШГОРОД;3,5;2;2;1;95
ВИШНЕВОЕ;ВИШНЕВЕ;3,5;2;2;1;3347
ИРПЕНЬ;ІРПІНЬ;3,5;2;2;1;90
ОБУХІВ;ОБУХОВ;3,5;2;1;1;101
ДНЕПР;ДНІПРО;3,5;3;3;1;28
ЛЬВОВ;ЛЬВІВ;3,5;3;3;1;132
ОДЕССА;ОДЕСА;3,5;3;3;1;152
ХАРЬКОВ;ХАРКІВ;3,5;3;3;1;193
ДОНЕЦК;ДОНЕЦЬК;2,8;4;4;1;37
ЗАПОРОЖЬЕ;ЗАПОРІЖЖЯ;2,8;4;4;1;74
КРИВОЙ РОГ;КРИВИЙ РІГ;2,8;4;4;1;31
АЛЧЕВСК;АЛЧЕВСЬК;2,5;5;5;1;118
БЕРДЯНСК;БЕРДЯНСЬК;2,5;5;5;1;75
БЕЛАЯ ЦЕРКОВЬ;БІЛА ЦЕРКВА;2,5;5;5;1;86
ВИННИЦА;ВІННИЦЯ;2,5;5;5;1;9
ГОРЛОВКА;ГОРЛІВКА;2,5;5;5;1;39
ЕВПАТОРИЯ;ЄВПАТОРІЯ;2,5;5;5;1;3
ЖИТОМИР;ЖИТОМИР;2,5;5;5;1;56
ИВАНО-ФРАНКОВСК;ІВАНО-ФРАНКІВСЬК;2,5;5;5;1;81
КАМЕНЕЦ-ПОДОЛЬСКИЙ;КАМ'ЯНЕЦЬ-ПОДІЛЬСЬКИЙ;2,5;5;5;1;216
КАМЕНСКОЕ;КАМ'ЯНСЬКЕ;2,5;5;5;1;29
КЕРЧЬ;КЕРЧ;2,5;5;5;1;4
КРАМАТОРСК;КРАМАТОРСЬК;2,5;5;5;1;44
КРЕМЕНЧУГ;КРЕМЕНЧУК;2,5;5;5;1;165
КРОПИВНИЦКИЙ;КРОПИВНИЦЬКИЙ;2,5;5;5;1;103
ЛИСИЧАНСК;ЛИСИЧАНСЬК;2,5;5;5;1;121
ЛУГАНСК;ЛУГАНСЬК;2,5;5;5;1;115
ЛУЦК;ЛУЦЬК;2,5;5;5;1;22
МАКЕЕВКА;МАКІЇВКА;2,5;5;5;1;46
МАРИУПОЛЬ;МАРІУПОЛЬ;2,5;5;5;1;42
МЕЛИТОПОЛЬ;МЕЛІТОПОЛЬ;2,5;5;5;1;76
НИКОЛАЕВ;МИКОЛАЇВ;2,5;5;5;1;143
НИКОПОЛЬ;НІКОПОЛЬ;2,5;5;5;1;32
ПАВЛОГРАД;ПАВЛОГРАД;2,5;5;5;1;34
ПОЛТАВА;ПОЛТАВА;2,5;5;5;1;163
РОВНО;РІВНЕ;2,5;5;5;1;174
СЕВАСТОПОЛЬ;СЕВАСТОПОЛЬ;2,5;5;5;1;245
СЕВЕРОДОНЕЦК;СЄВЄРОДОНЕЦЬК;2,5;5;5;1;126
СИМФЕРОПОЛЬ;СІМФЕРОПОЛЬ;2,5;5;5;1;1
СЛАВЯНСК;СЛОВ'ЯНСЬК;2,5;5;5;1;47
СУМЫ;СУМИ;2,5;5;5;1;180
ТЕРНОПОЛЬ;ТЕРНОПІЛЬ;2,5;5;5;1;188
УЖГОРОД;УЖГОРОД;2,5;5;5;1;64
ХЕРСОН;ХЕРСОН;2,5;5;5;1;206
ХМЕЛЬНИЦКИЙ;ХМЕЛЬНИЦЬКИЙ;2,5;5;5;1;215
ЧЕРКАССЫ;ЧЕРКАСИ;2,5;5;5;1;224
ЧЕРНОВЦЫ;ЧЕРНІВЦІ;2,5;5;5;1;232
ЧЕРНИГОВ;ЧЕРНІГІВ;2,5;5;5;1;238
АЛУШТА;АЛУШТА;2,2;6;5;0;3374
АНДРУШЕВКА;АНДРУШІВКА;1,5;6;6;0;3503
АНТРАЦИТ;АНТРАЦИТ;2,2;6;5;0;3449
АПОСТОЛОВО;АПОСТОЛОВЕ;1,5;6;6;0;35
АРЦИЗ;АРЦИЗ;1,5;6;6;0;158
БАЛАКЛАЯ;БАЛАКЛІЯ;1,5;6;6;0;199
БАРВЕНКОВО;БАРВІНКОВЕ;1,5;6;6;0;3445
БАРЫШЕВКА;БАРИШІВКА;1,5;6;6;0;94
БАХМАЧ;БАХМАЧ;1,5;6;6;0;241
БАХМУТ;БАХМУТ;1,5;6;6;0;38
БЕРДИЧЕВ;БЕРДИЧІВ;1,5;6;6;0;57
БЕРЕГОВО;БЕРЕГОВЕ;1,5;6;6;0;65
БЕРЕЖАНИ;БЕРЕЖАНИ;2,2;6;5;0;3501
БЕРЕЗОВКА;БЕРЕЗІВКА;1,5;6;6;0;159
БЕРЕЗНО;БЕРЕЗНЕ;1,5;6;6;0;3552
БЕРШАДЬ;БЕРШАДЬ;1,5;6;6;0;13
БЕЛГОРОД-ДНЕСТРОВСКИЙ;БІЛГОРОД-ДНІСТРОВСЬКИЙ;1,5;6;6;0;153
